15	5	E	-2.9418047000253594E8	200
probinit	1	4.833391084028123E-133
probinit	2	8.217686020900074E-97
probinit	3	0.0
probinit	4	5.821732784949716E-206
probinit	5	2.570599815715417E-4
probinit	6	1.2394089703686278E-268
probinit	7	7.313122412318923E-4
probinit	8	0.00215568295895852
probinit	9	6.07036699165658E-27
probinit	10	5.570563881553629E-4
probinit	11	0.001915306406510608
probinit	12	0.0028886890115639875
probinit	13	0.0090069277530094
probinit	14	5.161998610600496E-8
probinit	15	0.9824879136390126
transitionprobs	1	1	0.8012613146505628
transitionprobs	1	2	0.11166410222679429
transitionprobs	1	3	0.006224325755011786
transitionprobs	1	4	1.7696186455901713E-4
transitionprobs	1	5	0.02381293655611498
transitionprobs	1	6	2.9251307800683746E-6
transitionprobs	1	7	0.010983227857222696
transitionprobs	1	8	5.013067049305303E-4
transitionprobs	1	9	3.8620412512305126E-4
transitionprobs	1	10	0.00698947697067331
transitionprobs	1	11	0.0035814655709738505
transitionprobs	1	12	3.3511281245953827E-4
transitionprobs	1	13	2.398508264473411E-8
transitionprobs	1	14	0.00791851653122911
transitionprobs	1	15	0.026162099258482313
transitionprobs	2	1	0.13517203861629068
transitionprobs	2	2	0.6120014625373671
transitionprobs	2	3	0.007830356830893101
transitionprobs	2	4	1.0347071279013269E-7
transitionprobs	2	5	0.01649446008383646
transitionprobs	2	6	0.006713058016033229
transitionprobs	2	7	0.19843090957824971
transitionprobs	2	8	2.957944422080135E-4
transitionprobs	2	9	1.4131544754872452E-4
transitionprobs	2	10	3.217262906643907E-4
transitionprobs	2	11	0.004200008536446456
transitionprobs	2	12	0.0016023419647677682
transitionprobs	2	13	0.0
transitionprobs	2	14	0.005947696864078199
transitionprobs	2	15	0.010848727320903608
transitionprobs	3	1	0.056939810508453606
transitionprobs	3	2	0.059372318857187495
transitionprobs	3	3	0.7594915816189338
transitionprobs	3	4	0.021571171567741923
transitionprobs	3	5	0.004616053037276279
transitionprobs	3	6	0.09604842917989197
transitionprobs	3	7	0.0
transitionprobs	3	8	0.001156273908061625
transitionprobs	3	9	0.0
transitionprobs	3	10	4.605565889269152E-4
transitionprobs	3	11	3.438047335263376E-4
transitionprobs	3	12	0.0
transitionprobs	3	13	0.0
transitionprobs	3	14	0.0
transitionprobs	3	15	0.0
transitionprobs	4	1	2.5115610011678678E-5
transitionprobs	4	2	0.0
transitionprobs	4	3	3.478099531744677E-4
transitionprobs	4	4	0.9400942131509192
transitionprobs	4	5	0.04858930585641495
transitionprobs	4	6	0.008971244406859136
transitionprobs	4	7	0.0
transitionprobs	4	8	0.0018997874659406116
transitionprobs	4	9	0.0
transitionprobs	4	10	3.6306247777575124E-8
transitionprobs	4	11	0.0
transitionprobs	4	12	1.2478805248140642E-5
transitionprobs	4	13	6.0008445184123925E-5
transitionprobs	4	14	0.0
transitionprobs	4	15	0.0
transitionprobs	5	1	0.0014387988191204113
transitionprobs	5	2	9.840581501959391E-4
transitionprobs	5	3	2.8669004823330896E-5
transitionprobs	5	4	0.018508717797226314
transitionprobs	5	5	0.9465174408224557
transitionprobs	5	6	0.001897435544512856
transitionprobs	5	7	0.026074685666044036
transitionprobs	5	8	0.001983550145946206
transitionprobs	5	9	3.058386793067511E-4
transitionprobs	5	10	1.1128448378858196E-5
transitionprobs	5	11	1.2442819466065653E-5
transitionprobs	5	12	7.059554778519917E-5
transitionprobs	5	13	1.035789559861166E-4
transitionprobs	5	14	1.2896872214372186E-4
transitionprobs	5	15	0.0019340908766087702
transitionprobs	6	1	0.0
transitionprobs	6	2	0.008106822546261497
transitionprobs	6	3	0.015550968642344185
transitionprobs	6	4	0.08573569849189407
transitionprobs	6	5	0.047733717261234127
transitionprobs	6	6	0.8064003849703071
transitionprobs	6	7	0.03602918865618807
transitionprobs	6	8	3.4430211468605676E-4
transitionprobs	6	9	0.0
transitionprobs	6	10	0.0
transitionprobs	6	11	1.2101894139652733E-5
transitionprobs	6	12	8.681542294532496E-5
transitionprobs	6	13	0.0
transitionprobs	6	14	0.0
transitionprobs	6	15	0.0
transitionprobs	7	1	0.0023777725340014652
transitionprobs	7	2	0.0356947625133912
transitionprobs	7	3	0.0
transitionprobs	7	4	0.0
transitionprobs	7	5	0.0910432009446024
transitionprobs	7	6	0.004970015148260884
transitionprobs	7	7	0.7887552369608483
transitionprobs	7	8	1.666772887679775E-4
transitionprobs	7	9	7.573771073291276E-4
transitionprobs	7	10	0.0
transitionprobs	7	11	6.233471320479926E-5
transitionprobs	7	12	0.001530565879495902
transitionprobs	7	13	0.0
transitionprobs	7	14	0.012665215936791787
transitionprobs	7	15	0.06197684097330619
transitionprobs	8	1	0.0011439284187229177
transitionprobs	8	2	4.5148711340481785E-4
transitionprobs	8	3	2.2418259950300585E-4
transitionprobs	8	4	0.025404118995011226
transitionprobs	8	5	0.07198667130666511
transitionprobs	8	6	5.004006366713256E-4
transitionprobs	8	7	0.0015814480459948976
transitionprobs	8	8	0.8504728538122034
transitionprobs	8	9	0.045549056112377806
transitionprobs	8	10	0.0
transitionprobs	8	11	1.213066746898557E-4
transitionprobs	8	12	0.0
transitionprobs	8	13	3.526028987460731E-4
transitionprobs	8	14	0.0
transitionprobs	8	15	0.0022119433860096466
transitionprobs	9	1	6.807049721368959E-5
transitionprobs	9	2	4.961674553680458E-5
transitionprobs	9	3	0.0
transitionprobs	9	4	0.0
transitionprobs	9	5	9.643768621184495E-4
transitionprobs	9	6	0.0
transitionprobs	9	7	7.01012475132874E-4
transitionprobs	9	8	0.004075258010574946
transitionprobs	9	9	0.9142708893846863
transitionprobs	9	10	9.933089573783801E-6
transitionprobs	9	11	1.9893069960724853E-5
transitionprobs	9	12	8.151080177648558E-6
transitionprobs	9	13	5.877992920320879E-4
transitionprobs	9	14	0.005162819148235288
transitionprobs	9	15	0.07408218034475741
transitionprobs	10	1	0.04414503497480123
transitionprobs	10	2	0.0018163609820533299
transitionprobs	10	3	3.8045559483554906E-4
transitionprobs	10	4	1.7098663615241569E-6
transitionprobs	10	5	9.80151273394374E-4
transitionprobs	10	6	0.0
transitionprobs	10	7	0.0
transitionprobs	10	8	0.0
transitionprobs	10	9	1.9871599073709195E-4
transitionprobs	10	10	0.7167237873822266
transitionprobs	10	11	0.1036261480123477
transitionprobs	10	12	0.01980589859969255
transitionprobs	10	13	0.09050702914095782
transitionprobs	10	14	0.0168498580674635
transitionprobs	10	15	0.0049648501151287475
transitionprobs	11	1	0.02845458311616692
transitionprobs	11	2	0.02825116936732394
transitionprobs	11	3	3.0884129850225646E-4
transitionprobs	11	4	0.0
transitionprobs	11	5	0.0011177763294046715
transitionprobs	11	6	4.908034125057924E-6
transitionprobs	11	7	0.0020251650016128177
transitionprobs	11	8	3.7048636852977766E-4
transitionprobs	11	9	3.8891612162363483E-4
transitionprobs	11	10	0.12840699624713542
transitionprobs	11	11	0.5818892778865069
transitionprobs	11	12	0.16499173964810307
transitionprobs	11	13	0.048928168482812166
transitionprobs	11	14	0.010673450535450931
transitionprobs	11	15	0.00418852156270245
transitionprobs	12	1	0.0013449133341783645
transitionprobs	12	2	0.004758416924644809
transitionprobs	12	3	0.0
transitionprobs	12	4	1.6868215330188667E-4
transitionprobs	12	5	0.004459074545625075
transitionprobs	12	6	1.8642815512685503E-4
transitionprobs	12	7	0.025594672626742962
transitionprobs	12	8	8.269790071672677E-5
transitionprobs	12	9	1.2353139645097716E-4
transitionprobs	12	10	0.011522329386288077
transitionprobs	12	11	0.07595298016072813
transitionprobs	12	12	0.6369467017744085
transitionprobs	12	13	0.17241670175025559
transitionprobs	12	14	0.06644286989153189
transitionprobs	12	15	0.0
transitionprobs	13	1	0.0
transitionprobs	13	2	0.0
transitionprobs	13	3	0.0
transitionprobs	13	4	1.6625995225441357E-4
transitionprobs	13	5	7.994474777446058E-4
transitionprobs	13	6	0.0
transitionprobs	13	7	0.0
transitionprobs	13	8	6.319786929064214E-5
transitionprobs	13	9	0.001431776819010451
transitionprobs	13	10	0.006646545415514638
transitionprobs	13	11	0.0028772746855028537
transitionprobs	13	12	0.022353456752981206
transitionprobs	13	13	0.8835123155082352
transitionprobs	13	14	0.08214972551946614
transitionprobs	13	15	0.0
transitionprobs	14	1	5.679915012808748E-4
transitionprobs	14	2	5.318510144784688E-4
transitionprobs	14	3	0.0
transitionprobs	14	4	0.0
transitionprobs	14	5	1.4251261614168923E-4
transitionprobs	14	6	0.0
transitionprobs	14	7	0.004464032082205403
transitionprobs	14	8	0.0
transitionprobs	14	9	0.001958870071053617
transitionprobs	14	10	2.4561670819623694E-4
transitionprobs	14	11	1.4505684973061399E-4
transitionprobs	14	12	0.0013595042606406888
transitionprobs	14	13	0.013137974113451925
transitionprobs	14	14	0.9691814620912186
transitionprobs	14	15	0.008265128691601674
transitionprobs	15	1	3.1775024220555254E-4
transitionprobs	15	2	0.0
transitionprobs	15	3	0.0
transitionprobs	15	4	0.0
transitionprobs	15	5	3.322458390079796E-4
transitionprobs	15	6	0.0
transitionprobs	15	7	0.003163124920219828
transitionprobs	15	8	1.2013860128241001E-5
transitionprobs	15	9	0.004019938365114989
transitionprobs	15	10	0.0
transitionprobs	15	11	0.0
transitionprobs	15	12	0.0
transitionprobs	15	13	0.0
transitionprobs	15	14	0.0011898681589212403
transitionprobs	15	15	0.9909650586144021
emissionprobs	1	0	H3K27me3	0	0.9936604932819744
emissionprobs	1	0	H3K27me3	1	0.006339506718025707
emissionprobs	1	1	H3K36me3	0	0.9938413661716681
emissionprobs	1	1	H3K36me3	1	0.006158633828331926
emissionprobs	1	2	H3K4me1	0	0.9476269874786589
emissionprobs	1	2	H3K4me1	1	0.052373012521341085
emissionprobs	1	3	H3K4me3	0	0.07129538327984054
emissionprobs	1	3	H3K4me3	1	0.9287046167201596
emissionprobs	1	4	H3K9me3	0	0.9970642811121768
emissionprobs	1	4	H3K9me3	1	0.002935718887823255
emissionprobs	2	0	H3K27me3	0	0.9934894731661978
emissionprobs	2	0	H3K27me3	1	0.006510526833802142
emissionprobs	2	1	H3K36me3	0	0.991070113246056
emissionprobs	2	1	H3K36me3	1	0.008929886753944037
emissionprobs	2	2	H3K4me1	0	0.05468149947953701
emissionprobs	2	2	H3K4me1	1	0.945318500520463
emissionprobs	2	3	H3K4me3	0	0.04948364963836211
emissionprobs	2	3	H3K4me3	1	0.9505163503616378
emissionprobs	2	4	H3K9me3	0	0.9970118825550381
emissionprobs	2	4	H3K9me3	1	0.0029881174449619794
emissionprobs	3	0	H3K27me3	0	0.9929653003075442
emissionprobs	3	0	H3K27me3	1	0.007034699692455865
emissionprobs	3	1	H3K36me3	0	0.2426950544612165
emissionprobs	3	1	H3K36me3	1	0.7573049455387836
emissionprobs	3	2	H3K4me1	0	0.2878154397728239
emissionprobs	3	2	H3K4me1	1	0.7121845602271761
emissionprobs	3	3	H3K4me3	0	0.08248166571594572
emissionprobs	3	3	H3K4me3	1	0.9175183342840544
emissionprobs	3	4	H3K9me3	0	0.989476199826528
emissionprobs	3	4	H3K9me3	1	0.010523800173472082
emissionprobs	4	0	H3K27me3	0	0.9991520833492635
emissionprobs	4	0	H3K27me3	1	8.479166507365892E-4
emissionprobs	4	1	H3K36me3	0	0.33277230174836153
emissionprobs	4	1	H3K36me3	1	0.6672276982516384
emissionprobs	4	2	H3K4me1	0	0.9951196591463016
emissionprobs	4	2	H3K4me1	1	0.00488034085369839
emissionprobs	4	3	H3K4me3	0	0.9993178838494984
emissionprobs	4	3	H3K4me3	1	6.821161505016136E-4
emissionprobs	4	4	H3K9me3	0	0.9962075410361013
emissionprobs	4	4	H3K9me3	1	0.0037924589638986196
emissionprobs	5	0	H3K27me3	0	0.9995127169521802
emissionprobs	5	0	H3K27me3	1	4.8728304781977465E-4
emissionprobs	5	1	H3K36me3	0	0.9581998710875452
emissionprobs	5	1	H3K36me3	1	0.04180012891245471
emissionprobs	5	2	H3K4me1	0	0.9890038850934091
emissionprobs	5	2	H3K4me1	1	0.010996114906590929
emissionprobs	5	3	H3K4me3	0	0.9994565052711788
emissionprobs	5	3	H3K4me3	1	5.434947288212319E-4
emissionprobs	5	4	H3K9me3	0	0.9980286211837162
emissionprobs	5	4	H3K9me3	1	0.0019713788162837656
emissionprobs	6	0	H3K27me3	0	0.9981176865816319
emissionprobs	6	0	H3K27me3	1	0.0018823134183680492
emissionprobs	6	1	H3K36me3	0	0.37852708850397265
emissionprobs	6	1	H3K36me3	1	0.6214729114960272
emissionprobs	6	2	H3K4me1	0	0.27966922685948264
emissionprobs	6	2	H3K4me1	1	0.7203307731405173
emissionprobs	6	3	H3K4me3	0	0.976447609757555
emissionprobs	6	3	H3K4me3	1	0.02355239024244513
emissionprobs	6	4	H3K9me3	0	0.9953717884456728
emissionprobs	6	4	H3K9me3	1	0.004628211554327288
emissionprobs	7	0	H3K27me3	0	0.9968372788673459
emissionprobs	7	0	H3K27me3	1	0.0031627211326542373
emissionprobs	7	1	H3K36me3	0	0.9930958846419239
emissionprobs	7	1	H3K36me3	1	0.006904115358076151
emissionprobs	7	2	H3K4me1	0	0.2874695534952785
emissionprobs	7	2	H3K4me1	1	0.7125304465047215
emissionprobs	7	3	H3K4me3	0	0.9826789648372989
emissionprobs	7	3	H3K4me3	1	0.017321035162701042
emissionprobs	7	4	H3K9me3	0	0.9964114476317871
